Date,Nifty500_PE,Nifty500_PB,Earning_Yields_%,3M_Yield_India,2Y_Yield_India,10Y_Yield_India,India_Yield_Spread,10Y-3M_Yield_India,10Y-2Y_Yield_India,3M_Yield_US,2Y_Yield_US,10Y_Yield_US,10Y-3M_Yield_US,10Y-2Y_Yield_US,pct_change
2009-12-24,20.64,3.25,4.33,3.75,5.71,7.68,3.34,3.93,1.97,0.05,0.97,3.81,3.76,2.84,0.5029590614717405
2009-05-27,19.53,3.04,5.0,3.3,5.03,6.61,1.61,3.31,1.57,0.16,0.99,3.74,3.58,2.75,0.4858379571797924
2009-06-18,17.92,2.98,5.25,3.35,5.4,6.9,1.64,3.55,1.5,0.18,1.25,3.81,3.63,2.56,0.5562865389969085
2010-11-08,23.61,3.55,3.93,6.8,7.27,8.0,4.07,1.2,0.73,0.12,0.4,2.56,2.43,2.15,0.22209015799391207
2010-01-18,21.62,3.4,4.24,3.85,5.26,7.61,3.37,3.76,2.35,0.06,0.87,3.68,3.62,2.81,0.5169681749488841
1999-07-13,17.32,2.17,5.02,9.15,10.84,11.77,6.75,2.62,0.94,4.7,5.51,5.7,1.0,0.19,0.6599615474377927
2006-01-23,18.73,3.77,5.94,6.2,6.42,7.21,1.26,1.01,0.78,4.33,4.37,4.36,0.03,0.0,0.9608181908450006
2004-04-02,17.79,2.92,4.64,4.25,4.47,5.11,0.47,0.86,0.64,0.94,1.63,3.88,2.93,2.25,0.41598651819052956
2009-04-29,15.28,2.37,6.05,3.35,4.71,6.24,0.19,2.89,1.53,0.1,0.95,3.11,3.01,2.15,0.8086708349762481
2004-05-03,17.43,2.86,6.02,4.34,4.53,5.12,-0.89,0.78,0.59,0.97,2.31,4.5,3.53,2.19,0.370142596472258
2004-05-04,17.75,2.91,5.93,4.34,4.53,5.12,-0.8,0.78,0.59,0.83,2.24,4.57,3.74,2.33,0.31444684027201864
2001-01-22,20.68,2.23,4.58,9.25,9.63,10.46,5.88,1.21,0.83,5.22,4.75,5.23,0.0,0.48,1.341912900236796
2000-06-20,27.55,2.81,4.0,9.75,9.98,11.09,7.09,1.34,1.11,5.78,6.45,6.02,0.24,-0.43,0.5567623597277931
2012-07-25,16.82,2.4,5.95,8.2,7.87,8.1,2.14,-0.1,0.23,0.1,0.22,1.4,1.3,1.18,0.9955198897203623
2010-07-07,19.6,3.35,4.56,5.4,6.32,7.58,3.03,2.18,1.26,0.17,0.63,2.98,2.82,2.36,0.5232677443626166
2012-10-01,19.38,2.61,5.2,8.15,7.94,8.16,2.95,0.0,0.22,0.09,0.24,1.62,1.53,1.38,0.9441514940470268
2001-09-04,14.51,1.61,6.66,6.95,7.13,9.1,2.44,2.15,1.97,3.44,3.77,4.96,1.51,1.18,2.7930630762476225
2000-10-04,22.6,2.35,5.07,10.4,10.58,11.57,6.49,1.17,0.99,5.9,6.02,5.89,-0.01,-0.13,1.1955883138385945
2011-04-19,20.26,3.24,4.62,7.25,7.75,8.07,3.45,0.82,0.32,0.06,0.65,3.37,3.3,2.71,0.2753318751759535
2005-04-21,16.38,3.06,7.21,5.15,6.0,7.08,-0.13,1.93,1.08,2.84,3.63,4.3,1.46,0.67,1.400399502069884
2014-07-30,21.68,3.01,4.81,8.64,8.12,8.72,3.91,0.08,0.6,0.04,0.56,2.55,2.52,1.99,0.5748644225523858
2004-12-08,16.11,2.9,6.04,5.15,5.91,6.75,0.71,1.6,0.84,2.24,2.89,4.12,1.88,1.23,1.4114730247335134
2010-05-11,18.67,3.22,4.61,4.1,5.85,7.96,3.35,3.86,2.11,0.16,0.84,3.53,3.37,2.69,0.6803999999999999
2008-05-12,18.6,4.63,4.66,7.25,7.73,7.89,3.23,0.64,0.16,1.82,2.32,3.8,1.98,1.48,0.1463123724270221
2003-03-26,13.41,1.56,7.22,6.0,6.1,6.35,-0.87,0.35,0.25,1.18,1.76,3.94,2.75,2.18,5.324447829398324
2008-08-19,15.95,3.45,5.43,9.1,9.32,9.09,3.66,-0.01,-0.24,1.8,2.3,3.84,2.03,1.54,0.29706491466114393
1999-05-04,13.74,1.69,6.44,8.65,10.84,11.88,5.44,3.23,1.03,4.51,5.1,5.41,0.89,0.31,1.1114177596949952
2005-08-29,17.8,3.41,6.91,5.21,6.05,7.09,0.18,1.88,1.04,3.53,4.06,4.17,0.64,0.12,1.09594335093615
2008-03-04,18.82,4.68,4.82,7.3,7.53,7.58,2.76,0.28,0.05,1.58,1.67,3.63,2.05,1.96,0.18315081699750313
2006-12-07,19.98,4.29,4.64,6.64,7.03,7.39,2.75,0.75,0.36,4.96,4.58,4.49,-0.48,-0.1,0.14763377574920433
2013-12-17,18.36,2.39,5.49,8.7,8.52,8.91,3.42,0.21,0.39,0.07,0.32,2.84,2.78,2.52,0.8557439191323575
2001-03-01,20.29,2.19,4.92,8.2,8.91,9.99,5.08,1.79,1.09,4.85,4.41,4.88,0.03,0.47,1.6337086929067564
2005-01-13,16.32,3.08,6.97,5.27,5.96,6.57,-0.4,1.3,0.6,2.32,3.18,4.17,1.85,0.99,1.4197665186579234
1999-05-05,13.96,1.71,6.36,8.9,10.86,11.87,5.52,2.97,1.02,4.51,5.1,5.4,0.89,0.3,1.0776639229520129
2007-08-01,17.95,4.4,5.09,6.45,7.49,7.9,2.81,1.45,0.41,4.87,4.61,4.79,-0.08,0.19,0.08129297160257387
2004-12-31,17.17,3.24,6.53,5.3,5.83,6.71,0.18,1.41,0.88,2.21,3.07,4.22,2.01,1.15,1.1348274142611778
2002-02-18,15.15,1.74,5.3,6.26,6.43,7.22,1.92,0.96,0.79,1.74,3.05,4.86,3.13,1.81,2.987338582677165
2009-11-05,18.42,3.07,4.84,3.25,5.82,7.28,2.44,4.03,1.46,0.04,0.88,3.53,3.49,2.65,0.6672735431758445
2013-02-26,17.5,2.51,5.56,8.06,7.73,7.81,2.25,-0.25,0.08,0.12,0.25,1.89,1.76,1.64,1.0873134821802473
2003-04-25,12.65,1.48,7.92,4.85,5.33,5.88,-2.04,1.03,0.55,1.15,1.59,3.89,2.74,2.3,5.392991874637261
2011-11-24,16.33,2.34,5.81,8.85,8.57,8.79,2.98,-0.06,0.22,0.02,0.27,1.89,1.87,1.62,1.0125702592449874
2009-02-25,12.1,1.88,7.63,4.7,5.13,6.65,-0.98,1.95,1.52,0.3,1.09,2.93,2.63,1.84,1.3075576167715681
2012-08-10,17.2,2.47,5.77,8.22,7.92,8.16,2.39,-0.06,0.23,0.1,0.27,1.66,1.56,1.39,1.0188323242455728
2013-05-31,17.82,2.57,5.57,7.35,7.32,7.44,1.87,0.09,0.12,0.04,0.3,2.13,2.09,1.84,0.9037050486494571
2009-08-31,19.56,3.19,4.78,3.43,5.97,7.43,2.65,4.0,1.46,0.14,0.97,3.4,3.26,2.44,0.6077599114640972
2003-04-30,12.8,1.49,7.61,4.6,5.13,5.88,-1.73,1.28,0.75,1.13,1.49,3.84,2.71,2.35,4.9365318416523225
2006-05-31,17.44,4.03,5.73,5.77,6.77,7.66,1.93,1.89,0.89,4.8,5.04,5.12,0.32,0.08,0.7449767574233943
2001-03-15,17.26,1.86,5.48,8.1,9.14,10.42,4.94,2.32,1.29,4.52,4.24,4.79,0.27,0.56,2.06315398427342
2005-01-18,16.16,3.05,7.05,5.2,6.04,6.72,-0.33,1.52,0.68,2.34,3.24,4.19,1.85,0.96,1.47351229362157
2001-11-13,13.73,1.53,6.86,6.75,6.9,8.64,1.77,1.89,1.74,1.85,2.51,4.38,2.53,1.87,3.4678962802901685
2008-01-18,23.41,5.65,4.08,7.1,7.5,7.55,3.46,0.45,0.05,2.83,2.35,3.64,0.81,1.29,-0.09637930509455217
2013-06-07,17.73,2.54,5.63,7.36,7.29,7.24,1.61,-0.12,-0.05,0.05,0.31,2.18,2.13,1.87,0.9848196316894242
2000-01-25,27.88,3.2,3.87,9.0,10.13,10.98,7.11,1.98,0.85,5.57,6.44,6.69,1.13,0.26,0.2321168883576088
2009-06-19,18.16,3.02,5.18,3.35,5.51,6.91,1.73,3.56,1.4,0.18,1.2,3.77,3.59,2.57,0.5354091677869812
2006-01-30,19.13,3.85,5.58,6.73,6.88,7.43,1.84,0.69,0.55,4.44,4.51,4.53,0.09,0.02,0.8428690932435849
1999-10-08,22.98,2.57,4.33,10.25,10.69,11.57,7.23,1.32,0.88,4.8,5.79,6.04,1.24,0.24,0.25958581854554885
